categoria_codice,categoria_nome,sottocategoria_codice,sottocategoria_nome,unita_misura,prezzo_economy,prezzo_standard,prezzo_premium,note,ordine_categoria,ordine_sottocategoria,applica_fattore_accesso
01,DEMOLIZIONI,01.01,Demolizione pavimenti esistenti con smaltimento,mq,0,0,0,,1,1,SI
01,DEMOLIZIONI,01.02,Demolizione rivestimenti ceramici con smaltimento,mq,0,0,0,,1,2,SI
01,DEMOLIZIONI,01.03,Demolizione tramezzi in muratura con smaltimento,mq,0,0,0,,1,3,SI
01,DEMOLIZIONI,01.04,Rimozione sanitari e smaltimento,pz,0,0,0,,1,4,SI
02,MURATURE,02.01,Tramezzo in muratura intonacato (sp. 8-10 cm),mq,0,0,0,,2,1,SI
02,MURATURE,02.02,Intonaco civile su pareti,mq,0,0,0,,2,2,SI
02,MURATURE,02.03,Massetto alleggerito per pavimenti (sp. 5 cm),mq,0,0,0,,2,3,SI
03,CARTONGESSO,03.01,Parete in cartongesso con isolamento (sp. 10 cm),mq,0,0,0,,3,1,SI
03,CARTONGESSO,03.02,Controsoffitto in cartongesso,mq,0,0,0,,3,2,SI
04,IMPIANTI ELETTRICI,04.01,Punto luce completo (interruttore + cablaggio),pz,0,0,0,,4,1,SI
04,IMPIANTI ELETTRICI,04.02,Presa elettrica completa (presa + cablaggio),pz,0,0,0,,4,2,SI
04,IMPIANTI ELETTRICI,04.03,Quadro elettrico completo (6-12 moduli),cad,0,0,0,,4,3,NO
04,IMPIANTI ELETTRICI,04.04,Impianto domotico base (1 ambiente),cad,0,0,0,,4,4,NO
05,IMPIANTI IDRAULICI,05.01,Impianto idrico-sanitario bagno completo,cad,0,0,0,,5,1,SI
05,IMPIANTI IDRAULICI,05.02,Punto acqua cucina (carico/scarico),pz,0,0,0,,5,2,SI
05,IMPIANTI IDRAULICI,05.03,Punto gas cucina con certificazione,pz,0,0,0,,5,3,SI
06,IMPIANTI TERMICI,06.01,Radiatore in alluminio (600-800W),pz,0,0,0,,6,1,SI
06,IMPIANTI TERMICI,06.02,Caldaia a condensazione (24 kW),cad,0,0,0,,6,2,NO
06,IMPIANTI TERMICI,06.03,Impianto radiante a pavimento,mq,0,0,0,,6,3,SI
07,PAVIMENTI,07.01,Pavimento in gres porcellanato 60x60 con posa,mq,0,0,0,,7,1,SI
07,PAVIMENTI,07.02,Parquet prefinito con posa flottante,mq,0,0,0,,7,2,SI
07,PAVIMENTI,07.03,Battiscopa coordinato con posa,ml,0,0,0,,7,3,SI
08,RIVESTIMENTI,08.01,Rivestimento ceramico bagno 30x60 con posa,mq,0,0,0,,8,1,SI
08,RIVESTIMENTI,08.02,Rivestimento cucina (zona cottura),mq,0,0,0,,8,2,SI
09,SERRAMENTI INTERNI,09.01,Porta interna battente con telaio e posa,pz,0,0,0,,9,1,SI
09,SERRAMENTI INTERNI,09.02,Porta scorrevole a scomparsa con posa,pz,0,0,0,,9,2,SI
10,TINTEGGIATURE,10.01,Tinteggiatura pareti con idropittura lavabile,mq,0,0,0,,10,1,SI
10,TINTEGGIATURE,10.02,Tinteggiatura soffitti,mq,0,0,0,,10,2,SI
11,SANITARI E ACCESSORI,11.01,WC con cassetta e sedile,pz,0,0,0,,11,1,SI
11,SANITARI E ACCESSORI,11.02,Lavabo con colonna o sospeso,pz,0,0,0,,11,2,SI
11,SANITARI E ACCESSORI,11.03,Piatto doccia 80x80 con box cristallo,cad,0,0,0,,11,3,SI
11,SANITARI E ACCESSORI,11.04,Rubinetteria bagno completa (3 pezzi),set,0,0,0,,11,4,SI
12,EXTRA CANTIERE,12.01,Protezioni e pulizie cantiere,mq,0,0,0,,12,1,NO
12,EXTRA CANTIERE,12.02,Trasporti e movimentazioni materiali,mq,0,0,0,,12,2,NO
